```
Rank            Smasher                Mains
1               Mango                  Fox, Falco
2               Armada                 Peach
3               Mew2King               Sheik, Marth, Fox
4               Dr. PeePee             Falco
5               Hungrybox              Jigglypuff
6               Hax                    Captain Falcon
7               Shroomed               Dr. Mario, Sheik, Marth
8               Wobbles                Ice Climbers
9               KirbyKaze              Sheik
10              SFAT                   Fox
11              Axe                    Pikachu
12              PewPewU                Marth
13              Ice                    Sheik, Marth
14              Leffen                 Fox
15              Unknown522             Fox
16              Silent Wolf            Fox
17              Javi                   Fox
18              Zhu                    Falco
19              S2J                    Captain Falcon
20              Lucky                  Fox
21              Fly Amanita            Ice Climbers
22              ChuDat                 Ice Climbers
23              Westballz              Falco
24              Taj                    Marth, Mewtwp
25              Overtriforce           Sheik
26              Chillindude829         Fox
27              Plup                   Samus
28              Colbol                 Fox
29              Lord                   Captain Falcon
30              DaShizWiz              Falco
31              Fiction                Fox
32              MacD                   Peach
33              KoreanDJ               Sheik, Fox, Marth
34 (tie)        Bladewise              Peach
34 (tie)        Kage The Warrior       Ganondorf
36 (tie)        VaNz                   Peach
36 (tie)        Vwins                  Peach
```
