```
Rank            Smasher                Mains
1               Hungrybox              Jigglypuff
2               Armada                 Peach, Fox
3               Mango                  Falco, Fox
4               Mew2King               Marth, Sheik, Fox
5               Plup                   Sheik, Fox, Samus
6               Leffen                 Fox
7               Axe                    Pikachu, Falco
8               Wizzrobe               Captain Falcon
9               SFAT                   Fox
10              S2J                    Captain Falcon
11              ChuDat                 Ice Climbers
12              Druggedfox             Fox
13              Shroomed               Sheik, Marth
14              Duck                   Samus
15              Crush                  Fox
16              Swedish Delight        Sheik, Peach
17              Lucky                  Fox, Captain Falcon, Marth
18              Westballz              Falco, Fox, Captain Falcon
19              La Luna                Marth
20              n0ne                   Captain Falcon, Ganondorf
21              PewPewU                Marth, Fox
22              Zain                   Marth
23              HugS                   Samus
24              aMSa                   Yoshi
25              Mike Haze              Fox
26              lloD                   Peach
27              dizzkidboogie          Ice Climbers
28              Ice                    Fox
29              KirbyKaze              Sheik, Peach
30              Colbol                 Fox, Marth
31              Trif                   Peach
32              Ryan Ford              Fox, Falco
33              Syrox                  Fox
34              KJH                    Fox
35              Nintendude             Ice Climbers
```
