```
Rank            Smasher                Mains
26              RAIN                   Sheik, Cloud
27              K9sbruce               Sheik, Diddy Kong
28              Mew2King               Cloud
29              SlayerZ                Peach
30              Pink Fresh             Bayonetta, Lucas
31              All Might              Sonic, Roy
32              Nietono                Diddy Kong, Sheik
33              Earth                  Pit
34              NAKAT                  Ness, Fox, Pikachu
35              False                  Sheik, Marth, Ryu
36              Mr. ConCon             Luigi
37              Ito                    Meta Knight
38              Angel Cortes           Diddy Kong
39              Xzax                   Fox, Mario
40              falln                  Rosalina & Luma
41              Fatality               Captain Falcon
42              iStudying              Greninja
43              ScAtt                  Mega Man
44              Megafox                Fox
45              Ryo                    Ike, Corrin
46              Cacogen                Sheik
47              8BitMan                ROB
48              Seagull Joe            Sonic
49              NickRiddle             Zero Suit Samus
50              Tearbear               Captain Falcon
```
